loại nhà đất,địa chỉ,giá,diện tích,giá/m2,mặt tiền,phòng ngủ,pháp lý,tọa độ x,tọa độ y,số tầng
0,20,5000.0,77.0,64.94,,2.0,2.0,10826948735.5477,106819704500.699,
0,20,3230.0,55.0,58.71,,2.0,1.0,10840833400.674538,106840593021.13838,
7,7,12000.0,300.0,40.0,,,1.0,10654943550.479,106720224859.03,
0,20,6800.0,100.0,68.0,,,2.0,10826765589.0417,106819259334.401,
0,21,3170.0,69.0,45.9,,2.0,,10886235052.6151,106770718865.826,
0,20,3750.0,53.0,70.76,,1.0,,10826369557.028254,106818911221.34715,
0,20,4700.0,80.12,58.66,,2.0,2.0,10826549327.653996,106819448129.87172,
0,13,28000.0,240.0,116.67,,4.0,1.0,10776797891.344,106755528744.121,
0,20,3470.0,70.0,49.57,,2.0,2.0,10843734851.2929,106845537716.701,
0,0,2490.0,85.0,29.29,,2.0,2.0,10706146413.7753,106600257694.126,
0,2,11500.0,126.0,91.27,,3.0,1.0,10794976649.1253,106720268739.603,
0,13,20000.0,140.0,142.86,,3.0,1.0,10781985549.2237,106719377448.03,
0,20,3520.0,52.0,67.69,,1.0,2.0,10826747717.986,106818928828.173,
0,21,4550.0,76.0,59.87,,2.0,2.0,10837630494.4826,106717734215.672,
0,13,19000.0,80.0,237.5,,2.0,,10772539499.0556,106713387299.639,
0,2,11800.0,117.0,100.86,,3.0,1.0,10794952820.59138,106720750897.26892,
0,20,3910.0,58.9,66.45,,2.0,,10841478890.044504,106840213969.7036,
0,20,5500.0,79.9,68.84,,2.0,,10843534399.051888,106845428144.71602,
0,20,3540.0,52.0,68.0,,1.0,,10827006401.894798,106818954302.564,
7,23,6700.0,83.0,80.72,4.1,,1.0,10811841489.2182,106624256010.219,
2,22,12500.0,112.2,111.41,5.1,3.0,1.0,10807753300.0,106644656100.0,1.0
6,13,38000.0,205.9,184.56,,,1.0,10797904987.837162,106738114089.6609,
2,14,11450.0,58.5,195.73,3.7,8.0,1.0,10789414640.6599,106674968386.599,5.0
2,20,3980.0,56.0,71.07,4.0,,1.0,10804501109.465458,106823636923.36488,2.0
2,12,5400.0,54.0,100.0,3.0,3.0,1.0,10870752652.345,106685539349.235,3.0
0,2,16500.0,126.0,130.95,,3.0,1.0,10795122560.888422,106719862857.07616,
2,21,7300.0,121.6,60.03,4.2,,1.0,10852867966.117102,106720056718.423,
0,9,46000.0,92.0,500.0,,2.0,2.0,10778080144.4118,106706890421.052,
3,18,10600.0,53.0,200.0,4.0,5.0,,10744229662.6097,106697017481.272,4.0
0,9,31500.0,78.22,402.71,,2.0,2.0,10778709619.557,106705985150.701,
0,13,48000.0,202.0,237.62,,4.0,2.0,10781659420.477535,106720441451.28836,
0,20,5500.0,79.7,69.01,,2.0,,10843504130.79986,106845122247.34282,
0,20,5500.0,79.9,68.84,,2.0,,10843344035.355,106846275039.4005,
0,20,5100.0,79.0,64.56,,,,10843819509.612282,106845732028.71176,
0,9,20660.0,56.0,368.93,,1.0,1.0,10777908447.6662,106707109036.574,
0,20,5450.0,80.12,68.0,,2.0,2.0,10826087242.7091,106818606620.382,
0,20,5150.0,82.4,62.44,,2.0,2.0,10826776042.984392,106818569540.14195,
0,20,7820.0,115.0,68.0,,3.0,2.0,10826527465.11766,106819184159.39906,
0,9,50000.0,160.0,312.5,,3.0,1.0,10778455536.793629,106706616406.05692,
0,20,5450.0,55.1,98.95,,1.0,1.0,10843583768.142387,106846367222.67876,
2,23,6100.0,66.0,92.42,4.0,4.0,1.0,10795781946.2366,106622012016.37,3.0
3,13,65000.0,270.0,240.74,3.0,4.0,1.0,10777728071.213352,106759474934.07095,3.0
7,21,15000.0,120.0,125.0,7.0,,1.0,10828734313.8619,106712417700.397,
4,22,23500.0,125.5,187.25,3.0,,1.0,10804808915.1762,106642673915.953,3.0
0,20,4750.0,80.0,59.38,,2.0,,10843789002.78,106845435728.661,
0,23,2950.0,73.0,40.41,,2.0,1.0,10803905487.0605,106616683959.961,
0,20,6320.0,97.0,65.13,,3.0,1.0,10841149443.020144,106840544920.1643,
3,20,17000.0,84.0,202.38,,,1.0,10841207367.929634,106840331246.47375,
3,20,14200.0,84.0,169.05,7.0,,,10841798180.556412,106839848936.87172,
0,20,4200.0,75.0,56.0,,2.0,1.0,10838468420.613632,106839303425.0727,
0,13,9600.0,74.2,129.38,,2.0,,10804299081.0524,106749684018.007,
3,13,25000.0,100.0,250.0,,,1.0,10777153926.8014,106787611990.446,
0,9,20000.0,56.0,357.14,,1.0,1.0,10778969488.8998,106706974803.876,
0,9,150000.0,239.0,627.62,,4.0,1.0,10778528856.1093,106706720793.124,
0,20,7820.0,115.0,68.0,,3.0,2.0,10826644634.64738,106819657328.45676,
0,9,23500.0,56.68,414.61,,1.0,2.0,10778080144.4118,106706890421.052,
0,20,5110.0,77.27,66.08,,1.0,2.0,10825763920.7029,106818969339.531,
5,20,11800.0,62.0,190.32,,,,10840552114.002748,106840270102.44684,
0,20,4800.0,80.2,59.85,,,2.0,10841545611.922745,106840145256.83482,
0,9,20600.0,63.0,326.98,,1.0,,10778474395.0677,106706663829.562,
0,9,46000.0,93.0,494.62,,2.0,2.0,10777863199.2086,106706740621.048,
3,20,13350.0,75.0,178.0,5.0,,1.0,10805931324.041489,106790726551.28574,3.0
0,20,5600.0,82.0,68.29,,2.0,2.0,10826545887.0747,106818580515.394,
0,9,50000.0,160.0,312.5,,3.0,1.0,10779031489.5838,106706792256.364,
